MD,TVD,RPMA,WOBA,MFIA,HKLA,TQA,SPPA,DBTM,STKC,MFOA,ROPA
1949.3,1573.75,79.13,4.96,1807.73,78.77,16.37,10.43,1949.8,115653.99,37.9,25.35
1949.4,1573.83,81.0,4.81,1807.73,78.93,14.62,10.47,1949.89,115676.0,37.51,25.35
1949.5,1573.91,79.75,4.85,1807.73,78.89,14.98,10.43,1949.99,115700.0,37.51,25.35
1949.6,1573.99,79.17,4.92,1807.5,78.81,17.74,10.31,1950.1,115726.0,37.66,25.64
1949.7,1574.07,79.77,5.07,1807.38,78.67,14.64,10.24,1950.18,115746.0,37.15,25.64
1949.8,1574.15,82.44,5.17,1807.73,78.57,13.96,10.28,1950.28,115769.99,37.43,25.64
1949.9,1574.23,80.28,5.19,1807.61,78.54,16.82,10.49,1950.37,115792.0,37.51,25.64
1950.0,1574.31,79.9,5.01,1807.61,78.72,16.88,10.67,1950.48,115817.0,37.22,25.64
1950.1,1574.39,80.54,5.05,1807.5,78.68,15.56,10.73,1950.58,115842.0,37.46,25.64
1950.2,1574.47,80.43,5.45,1807.14,78.28,12.32,11.3,1950.64,115864.0,37.32,25.64
1950.3,1574.55,81.84,5.55,1807.73,78.19,15.19,10.77,1950.64,115889.98,37.71,25.64
1950.4,1574.63,81.22,4.38,1807.73,79.36,11.99,10.31,1950.67,115914.0,37.81,25.64
1950.5,1574.71,79.31,4.23,1807.73,79.51,16.62,10.22,1950.73,115937.0,37.81,25.64
1950.6,1574.79,78.69,4.24,1807.73,79.5,15.99,10.2,1950.8,115962.0,37.65,25.64
1950.7,1574.87,78.88,4.33,1807.14,79.41,14.75,10.19,1950.85,115981.0,37.26,25.64
1950.8,1574.95,80.04,4.23,1807.61,79.51,12.72,10.16,1951.1,116061.98,37.26,18.49
1950.9,1575.03,78.55,4.27,1807.73,79.47,15.42,10.11,1951.23,116097.99,37.27,18.49
1951.0,1575.11,80.04,4.5,1807.73,79.24,13.42,10.19,1951.37,116134.0,37.86,18.49
1951.1,1575.19,79.63,4.41,1807.73,79.33,16.43,10.19,1951.5,116167.0,37.77,18.49
1951.2,1575.27,79.33,4.46,1807.61,79.28,14.7,10.14,1951.61,116197.0,37.06,18.49
1951.3,1575.35,80.39,4.42,1807.38,79.32,14.84,10.23,1951.72,116227.99,37.21,18.49
1951.4,1575.43,77.98,4.45,1807.73,79.29,17.58,10.16,1951.81,116249.99,37.13,18.49
1951.5,1575.51,81.26,4.26,1807.38,79.48,14.52,10.16,1951.91,116277.0,37.43,18.49
1951.6,1575.59,80.31,4.3,1807.73,79.44,15.23,10.13,1951.99,116298.0,37.52,18.49
1951.7,1575.67,81.23,4.28,1807.73,79.45,15.87,10.21,1952.09,116324.0,37.58,22.81
1951.8,1575.75,79.13,4.55,1807.73,79.19,16.68,10.16,1952.19,116348.99,37.91,22.81
1951.9,1575.83,79.65,4.59,1807.73,79.15,14.41,10.2,1952.29,116374.99,37.72,22.81
1952.0,1575.91,78.41,4.47,1807.73,79.26,15.46,10.18,1952.37,116397.0,37.46,22.81
1952.1,1575.99,80.44,4.47,1807.73,79.27,13.21,10.22,1952.46,116420.0,37.41,22.81
1952.2,1576.07,80.26,4.47,1807.14,79.27,14.7,10.26,1952.55,116442.0,37.5,22.81
1952.3,1576.15,78.86,4.48,1807.73,79.26,16.03,10.2,1952.65,116467.99,37.42,22.81
1952.4,1576.23,79.29,4.54,1807.73,79.2,11.7,10.18,1952.75,116492.99,37.48,22.81
1952.5,1576.31,80.66,4.68,1807.73,79.06,14.95,10.18,1952.84,116518.0,37.39,22.81
1952.6,1576.39,79.77,4.69,1807.73,79.05,14.31,10.18,1952.92,116539.0,37.41,22.81
1952.7,1576.46,79.34,4.76,1807.61,78.98,13.37,10.25,1953.02,116562.0,37.36,23.31
1952.8,1576.54,79.32,4.78,1807.5,78.96,11.87,10.33,1953.12,116588.99,37.29,23.31
1952.9,1576.62,79.75,4.71,1807.61,79.03,14.93,10.28,1953.18,116606.0,38.29,23.31
1953.0,1576.7,81.22,4.73,1806.9,79.0,15.75,10.23,1953.3,116635.0,37.77,23.31
1953.1,1576.78,81.37,4.58,1807.61,79.16,13.51,10.25,1953.38,116659.0,37.78,23.31
1953.2,1576.86,78.69,4.5,1807.38,79.24,14.89,10.34,1953.49,116684.0,37.7,23.31
1953.3,1576.94,80.04,4.59,1807.5,79.15,12.51,10.36,1953.57,116705.99,37.67,23.31
1953.4,1577.02,79.9,4.75,1807.61,78.98,14.66,10.31,1953.65,116727.99,37.72,23.31
1953.5,1577.1,80.52,4.75,1807.38,78.99,12.83,10.31,1953.74,116750.0,37.52,23.31
1953.6,1577.18,78.97,4.75,1807.73,78.98,16.47,10.31,1953.84,116775.0,36.87,23.31
1953.7,1577.26,80.66,4.68,1807.38,79.06,14.81,10.25,1953.93,116801.0,36.92,23.31
1953.8,1577.34,78.25,4.75,1807.38,78.99,14.57,10.2,1954.02,116822.99,37.13,23.77
1953.9,1577.42,80.91,4.78,1807.5,78.95,17.45,10.16,1954.09,116846.0,38.07,23.77
1954.0,1577.5,80.22,3.32,1807.73,80.42,14.75,10.08,1953.98,116865.0,37.65,23.77
1954.1,1577.58,80.37,0.88,1807.61,82.85,13.7,10.05,1953.61,116895.0,36.95,23.77
1954.2,1577.66,79.63,0.0,1807.5,82.85,13.21,10.03,1953.35,116915.0,37.31,23.77
1954.3,1577.74,79.82,0.0,1807.5,82.8,14.61,10.02,1952.97,116940.99,37.49,23.77
1954.4,1577.82,79.0,0.0,1807.73,82.82,16.29,10.01,1952.61,116964.99,37.38,23.77
1954.5,1577.9,48.86,3.72,1823.55,81.27,16.62,6.78,1954.88,121017.0,34.34,23.77
1954.6,1577.98,48.62,0.01,1822.48,87.39,15.79,8.78,1954.99,121055.0,35.42,23.77
1954.7,1578.06,48.32,3.85,1822.72,81.13,18.76,10.06,1955.1,121090.0,35.41,15.83
1954.8,1578.14,50.08,3.61,1823.55,81.37,17.88,6.51,1955.19,121121.98,36.09,15.83
