,train_depth,train_true,train_pre,train_depth,test_true,test_pre
370,944.501,88.12,5.3583364,358.577,70.28,5.149398
371,926.976,85.65,5.385159,356.027,59.2,5.3164024
372,916.226,70.91,5.5095,354.427,11.2,5.531048
373,904.651,20.99,5.7900176,352.177,47.4,5.4345126
374,902.951,21.48,5.8254347,350.102,51.01,5.383299
375,901.901,21.72,5.8346796,347.577,46.91,5.445725
376,901.001,21.72,5.8555803,345.327,49.42,5.2023954
377,900.076,20.44,5.847154,343.977,49.32,5.1943054
378,899.151,21.18,5.2892475,342.177,50.15,5.1700845
379,898.251,15.92,5.4727597,340.452,57.6,5.1634326
380,897.376,24.73,5.2615805,337.877,42.4,5.37037
381,892.176,74.72,5.2516704,336.027,37.16,5.4426517
382,890.676,26.88,5.8377237,334.352,33.49,5.5280056
383,889.551,26.76,5.848244,332.627,33.29,5.546824
384,1338.001,32.0,5.276792,625.702,45.19,5.219054
385,1336.876,32.5,5.321212,623.977,43.83,5.247477
386,1335.676,35.83,5.2930036,622.052,41.8,5.278811
387,1334.601,37.73,5.3106194,620.277,46.1,5.234778
388,1333.426,35.34,5.3188186,617.977,43.55,5.257539
389,1332.301,36.28,5.3296647,616.302,38.7,5.339049
390,1212.176,37.93,5.303929,613.552,38.49,5.3447127
391,1207.851,30.11,5.4433913,610.227,47.81,5.227025
392,1206.701,29.92,5.4325204,608.052,41.3,5.323501
393,1205.751,29.74,5.433279,606.377,42.32,5.317742
394,1204.751,26.28,5.533836,604.627,43.67,5.286529
395,1203.801,25.01,5.4375777,603.027,46.92,5.2371554
396,1202.801,26.44,5.3664513,601.352,44.79,5.240028
397,1201.726,22.97,5.435192,599.977,43.84,5.2577105
398,1200.726,55.37,5.276347,598.402,29.02,5.539713
399,1199.326,54.04,5.2894654,595.402,22.68,5.678984
400,1198.201,55.4,5.2740602,592.677,55.02,5.301171
401,1197.101,55.55,5.274204,590.852,49.22,5.385553
402,1195.976,55.22,5.2786403,588.402,56.89,5.282529
403,1194.676,56.56,5.2812643,585.827,63.21,5.2109175
404,1193.576,57.35,5.2772098,583.777,57.22,5.2960634
405,1192.201,55.75,5.3004546,581.777,54.4,5.3342795
406,1190.976,57.89,5.281644,579.677,60.37,5.2667975
407,1189.526,50.59,5.376702,577.302,49.59,5.388026
408,1188.101,71.09,5.2888627,575.752,46.55,5.4277997
409,1186.576,68.23,5.310111,573.202,55.45,5.2960706
410,1185.076,58.76,5.414848,571.527,59.5,5.253233
411,1183.826,67.96,5.3178596,569.652,61.2,5.230572
412,1182.401,66.69,5.326309,567.527,33.68,5.617874
413,1181.076,69.85,5.2890806,565.452,44.02,5.426672
414,1179.876,41.95,5.619001,555.777,16.37,5.787512
415,1178.651,41.11,5.631763,553.352,65.69,5.174132
416,1177.476,38.27,5.675225,550.977,56.144997,5.3010764
417,1176.076,24.88,5.8392663,548.202,52.22,5.352783
418,1175.226,20.8,5.765779,546.177,55.88,5.308282
419,1174.376,19.83,5.732549,543.902,62.87,5.2278576
